"","vivienda","hogar","tipo_ocupacion","subsidio","lavadora","secadora","nevera","licuadora","plancha","estufa","horno","lava_platos","aspiradora","automovil","motocicleta","servicio_dom"
"3559",8406,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0
"3560",8407,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
"3561",8408,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"3562",8409,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0
"3563",8410,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"3564",8411,1,4,1,1,0,1,1,1,1,0,0,0,0,0,0
"3565",8413,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3566",8414,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"3567",8417,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0
"3568",8418,1,3,0,0,0,1,1,0,1,0,0,0,0,1,0
"3569",8419,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0
"3570",8421,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3571",8422,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
"3572",8423,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0
"3573",8424,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"3574",8425,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0
"3575",8428,1,3,0,1,1,1,1,1,1,0,0,0,0,1,0
"3576",8429,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3577",8430,1,2,0,0,0,1,1,1,1,0,0,0,0,0,0
"3578",8431,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"3579",8433,1,3,0,1,0,1,1,1,0,0,0,0,0,0,0
"3580",8434,1,3,0,1,1,1,1,1,1,0,0,0,0,1,0
"3581",8437,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
"3582",8439,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0
"3583",8440,1,4,1,1,0,1,1,0,1,0,0,0,1,0,0
"3584",8441,1,4,0,1,0,1,1,1,1,1,0,0,0,0,0
"3585",8442,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
"3586",8443,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"3587",8444,1,3,0,0,0,1,1,1,1,0,0,0,0,0,0
"3588",8445,1,3,0,1,0,1,1,1,1,0,0,0,0,0,0
"3589",8446,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0
"3590",8447,1,3,0,1,0,1,1,1,1,0,0,0,0,1,0
"3591",8448,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0
"3592",8449,1,4,0,1,0,1,1,1,1,0,0,0,0,0,0
