"","vivienda","hogar","ind","jardin","tiempo_jardin","tiempo_esparcimiento_ninos"
"640",8101,1,4,0,0,0
"641",8102,1,3,0,0,0
"642",8178,1,3,0,0,0
"643",8218,1,3,0,0,0
"644",8220,1,3,1,2,0
"645",8233,1,6,0,0,0
"646",8243,1,4,1,0,0
"647",8248,1,4,0,0,0
"648",8261,1,5,0,0,0
"649",8287,1,2,1,0,0
"650",8291,1,4,0,0,0
"651",8322,1,3,0,0,0
"652",8377,1,9,0,0,0
"653",8392,1,2,1,0,0
"654",8404,1,7,0,0,0
"655",8404,1,8,0,0,0
"656",8408,1,4,0,0,0
"657",8408,1,5,0,0,0
"658",8422,1,5,0,0,0
"659",8422,1,6,0,0,0
"660",8424,1,3,0,0,0
"661",8440,1,5,0,0,0
"662",8447,1,3,0,0,0
"663",8466,1,2,1,0,0
"664",8470,1,4,0,0,0
"665",8471,1,3,1,0,0
"666",8480,1,3,0,0,0
"667",8482,1,3,0,0,0
"668",8482,1,4,0,0,0
"669",8486,1,3,0,0,0
"670",8509,1,3,0,0,0
"671",8529,1,5,0,0,0
"672",8532,1,4,1,0,0
"673",8546,1,4,0,0,0
"674",8558,1,4,0,0,0
"675",8561,1,4,0,0,0
"676",8568,1,3,0,0,0
"677",8573,1,5,0,0,0
"678",8574,1,5,0,0,0
"679",8577,1,3,1,0,0
"680",8586,1,7,0,0,0
"681",8599,1,4,1,0,0
"682",8609,1,4,1,0,0
"683",8613,1,4,0,0,0
"684",8623,1,3,0,0,0
"685",8629,1,4,0,0,0
"686",8633,1,4,0,0,0
"687",8635,1,4,0,0,0
"688",8635,1,5,0,0,0
"689",8637,1,4,0,0,0
"690",8645,1,5,0,0,0
"691",8664,1,5,0,0,0
"692",8689,1,5,1,0,0
"693",8710,1,3,0,0,0
"694",8719,1,3,0,0,0
"695",8721,1,3,0,0,0
"696",8729,1,4,0,0,0
"697",8731,1,3,1,0,0
"698",8731,1,4,1,0,0
"699",8740,1,5,0,0,0
"700",8740,1,6,0,0,0
"701",8741,1,4,1,0,0
"702",8754,1,3,0,0,0
"703",8773,1,3,0,0,0
"704",8783,1,6,0,0,0
"705",8786,1,5,0,0,0
"706",8788,1,7,0,0,0
"707",8795,1,3,0,0,0
"708",8796,1,3,1,0,0
"709",8804,1,3,0,0,0
"710",8804,2,4,0,0,0
"711",8818,1,4,0,0,0
"712",8818,1,5,0,0,0
"713",8822,1,3,0,0,0
"714",8825,1,4,0,0,0
"715",8825,1,6,0,0,0
"716",8837,1,3,1,0,0
"717",8844,1,4,0,0,0
"718",8846,1,3,0,0,0
"719",8850,1,4,0,0,0
"720",8854,1,4,1,0,0
"721",8865,1,4,1,0,0
"722",8865,1,6,0,0,0
"723",8878,1,5,0,0,0
"724",8879,1,2,1,0,0
"725",8892,1,4,0,0,0
"726",8906,1,3,1,0,0
"727",8913,1,4,1,0,0
"728",8914,1,3,0,0,0
"729",8933,1,2,1,0,0
"730",8936,1,3,0,0,0
"731",8936,1,4,0,0,0
"732",8944,1,3,0,0,0
"733",8960,1,4,1,4,0
"734",8974,1,3,0,0,0
"735",8977,1,4,1,2,0
"736",8979,2,3,0,0,0
"737",8996,1,3,1,0,0
"738",8996,1,7,1,0,0
"739",8997,1,2,1,0,0
"740",8997,1,3,1,0,0
"741",8999,1,3,1,0,0
"742",9002,1,3,0,0,0
"743",9004,1,5,0,0,0
"744",9020,1,3,0,0,0
"745",9021,1,4,1,0,0
"746",9032,1,4,0,0,0
"747",9039,1,4,0,0,0
"748",9046,1,5,0,0,0
"749",9050,1,4,0,0,0
"750",9051,1,4,0,0,0
"751",9054,1,3,0,0,0
"752",9069,1,4,1,0,0
"753",9073,1,4,0,0,0
"754",9075,1,3,1,0,0
"755",9079,1,4,0,0,0
"756",9084,1,2,1,0,0
"757",9084,1,4,1,0,0
"758",9112,1,4,0,0,0
"759",9123,3,5,1,0,0
"760",9130,1,3,1,9,0
"761",9144,1,3,1,0,0
"762",9147,1,3,0,0,0
"763",9150,1,3,1,0,0
"764",9154,1,4,0,0,0
"765",9156,1,3,0,0,0
"766",9161,1,4,1,2,0
"767",9163,1,2,0,0,0
"768",9166,1,3,0,0,0
"769",9195,1,3,0,0,0
