DIRECTORIO,SECUENCIA_P,ORDEN,P1165,P1164,P1178,P1178S1,P1163_1,P1163S1,P1163_2,P1163S2,P1163_3,P1163S3,P1163_4,P1163S4,P1162S1,P1162S1A1,P1162S1A2,P1162S2,P1162S2A1,P1162S2A2,P1162S3,P1162S3A1,P1162S3A2,P1162S4,P1162S4A1,P1162S4A2,P1162S5,P1162S5A1,P1162S5A2,P1162S6,P1162S6A1,P1162S6A2,F_EXP
3970,1,4,1,1,2,,1,24,,,,,,,1,3,0,1,4,0,1,10,0,1,2,0,,,,1,3,0,94.504800113
4002,1,6,2,,,,1,24,,,,,,,,,,1,5,0,1,14,0,,,,,,,,,,285.81228761
4008,1,3,2,,,,1,24,,,,,,,1,4,0,1,7,0,1,10,0,,,,1,3,0,,,,14.239196735
4009,1,8,2,,,,1,24,,,,,,,1,4,0,1,4,0,1,12,0,1,4,0,,,,,,,393.42749293
4011,1,6,1,2,2,,1,24,,,,,,,,,,1,5,0,1,10,0,,,,,,,,,,303.5303566
4019,1,4,1,4,2,,1,16,,,,,,,1,1,30,1,10,0,1,12,0,,,,1,1,30,,,,384.97691007
4020,1,5,1,2,2,,1,24,,,,,,,1,1,0,1,3,0,1,10,0,,,,,,,,,,131.34352702
4020,1,6,2,,,,1,24,,,,,,,,,,1,3,0,1,12,0,,,,,,,,,,131.34352702
4033,1,6,1,5,2,,1,24,,,,,,,1,1,0,1,2,0,1,6,0,1,0,30,,,,,,,129.08610365
4037,1,4,1,1,2,,1,23,1,1,,,,,1,4,0,1,2,0,1,10,0,,,,,,,,,,460.22790233
4049,1,3,2,,,,1,24,,,,,,,1,2,0,1,3,0,1,10,0,1,0,20,,,,,,,292.09906594
4049,1,4,2,,,,1,24,,,,,,,1,2,0,1,3,30,1,10,0,,,,,,,,,,292.09906594
4052,1,5,2,,,,1,24,,,,,,,,,,1,3,0,,,,,,,,,,,,,471.7104679
4080,1,6,1,4,2,,1,24,,,,,,,,,,1,3,0,1,12,0,,,,1,4,0,,,,386.7377707
